id,dst_ip,src_ip,proto,count,flag,port,type,length,attack
0,1,0,1,1,-1,-1,8,1500,0
1,0,1,1,162,-1,-1,0,28,0
2,1,0,1,162,-1,-1,8,28,1
3,0,1,1,551,-1,-1,0,28,0
4,1,0,1,550,-1,-1,8,28,1
5,1,0,1,553,-1,-1,8,28,1
6,0,1,1,553,-1,-1,0,28,0
7,1,0,1,510,-1,-1,8,28,1
8,0,1,1,510,-1,-1,0,28,0
9,1,0,1,536,-1,-1,8,28,1
10,0,1,1,535,-1,-1,0,28,0
11,0,1,1,545,-1,-1,0,28,0
12,1,0,1,544,-1,-1,8,28,1
13,1,0,1,549,-1,-1,8,28,1
14,0,1,1,549,-1,-1,0,28,0
15,1,0,1,552,-1,-1,8,28,1
16,0,1,1,550,-1,-1,0,28,0
17,0,1,1,533,-1,-1,0,28,0
18,1,0,1,531,-1,-1,8,28,1
19,0,1,1,551,-1,-1,0,28,0
20,1,0,1,552,-1,-1,8,28,1
21,1,0,1,575,-1,-1,8,28,1
22,0,1,1,575,-1,-1,0,28,0
23,1,0,1,562,-1,-1,8,28,1
24,0,1,1,557,-1,-1,0,28,0
25,0,1,1,552,-1,-1,0,28,0
26,1,0,1,549,-1,-1,8,28,1
27,1,0,1,264,-1,-1,8,28,1
28,0,1,1,262,-1,-1,0,28,0
29,0,1,1,388,-1,-1,0,28,0
30,1,0,1,388,-1,-1,8,28,1
31,0,1,1,507,-1,-1,0,28,0
32,1,0,1,506,-1,-1,8,28,1
33,1,0,1,468,-1,-1,8,28,1
34,0,1,1,468,-1,-1,0,28,0
35,1,0,1,516,-1,-1,8,28,1
36,0,1,1,516,-1,-1,0,28,0
37,1,0,1,270,-1,-1,8,28,1
38,0,1,1,270,-1,-1,0,28,0
39,1,0,1,175,-1,-1,8,228,1
40,0,1,1,175,-1,-1,0,228,0
41,1,0,1,444,-1,-1,8,228,1
42,0,1,1,442,-1,-1,0,228,0
43,0,1,1,460,-1,-1,0,228,0
44,1,0,1,460,-1,-1,8,228,1
45,0,1,1,457,-1,-1,0,228,0
46,1,0,1,460,-1,-1,8,228,1
47,0,1,1,454,-1,-1,0,228,0
48,1,0,1,451,-1,-1,8,228,1
49,0,1,1,454,-1,-1,0,228,0
50,1,0,1,453,-1,-1,8,228,1
51,1,0,1,449,-1,-1,8,228,1
52,0,1,1,448,-1,-1,0,228,0
53,0,1,1,446,-1,-1,0,228,0
54,1,0,1,446,-1,-1,8,228,1
55,0,1,1,444,-1,-1,0,228,0
56,1,0,1,444,-1,-1,8,228,1
57,1,0,1,441,-1,-1,8,228,1
58,0,1,1,441,-1,-1,0,228,0
59,1,0,1,439,-1,-1,8,228,1
60,0,1,1,434,-1,-1,0,228,0
61,0,1,1,433,-1,-1,0,228,0
62,1,0,1,430,-1,-1,8,228,1
63,1,0,1,425,-1,-1,8,228,1
64,0,1,1,424,-1,-1,0,228,0
65,0,1,1,429,-1,-1,0,228,0
66,1,0,1,430,-1,-1,8,228,1
67,0,1,1,401,-1,-1,0,228,0
68,1,0,1,401,-1,-1,8,228,1
69,1,0,1,429,-1,-1,8,228,1
70,0,1,1,429,-1,-1,0,228,0
71,1,0,1,425,-1,-1,8,228,1
72,0,1,1,425,-1,-1,0,228,0
73,0,1,1,428,-1,-1,0,228,0
74,1,0,1,428,-1,-1,8,228,1
75,1,0,1,422,-1,-1,8,228,1
76,0,1,1,420,-1,-1,0,228,0
77,0,1,1,418,-1,-1,0,228,0
78,1,0,1,417,-1,-1,8,228,1
79,1,0,1,357,-1,-1,8,228,1
80,0,1,1,357,-1,-1,0,228,0
81,1,0,1,361,-1,-1,8,228,1
82,0,1,1,358,-1,-1,0,228,0
83,0,1,1,407,-1,-1,0,228,0
84,1,0,1,406,-1,-1,8,228,1
85,0,1,1,405,-1,-1,0,228,0
86,1,0,1,406,-1,-1,8,228,1
87,0,1,1,402,-1,-1,0,228,0
88,1,0,1,401,-1,-1,8,228,1
89,1,0,1,399,-1,-1,8,228,1
90,0,1,1,398,-1,-1,0,228,0
91,0,1,1,396,-1,-1,0,228,0
92,1,0,1,398,-1,-1,8,228,1
93,0,1,1,392,-1,-1,0,228,0
94,1,0,1,391,-1,-1,8,228,1
95,0,1,1,389,-1,-1,0,228,0
96,1,0,1,387,-1,-1,8,228,1
97,1,0,1,340,-1,-1,8,228,1
98,0,1,1,339,-1,-1,0,228,0
99,0,1,1,394,-1,-1,0,228,0
100,1,0,1,394,-1,-1,8,228,1
101,0,1,1,352,-1,-1,0,228,0
102,1,0,1,354,-1,-1,8,228,1
103,0,1,1,376,-1,-1,0,228,0
104,1,0,1,375,-1,-1,8,228,1
105,0,1,1,399,-1,-1,0,228,0
106,1,0,1,396,-1,-1,8,228,1
107,0,1,1,397,-1,-1,0,228,0
108,1,0,1,397,-1,-1,8,228,1
109,0,1,1,179,-1,-1,0,228,0
110,1,0,1,178,-1,-1,8,228,1
111,1,0,1,110,-1,-1,8,228,1
112,0,1,1,109,-1,-1,0,228,0
113,0,1,1,360,-1,-1,0,228,0
114,1,0,1,359,-1,-1,8,228,1
115,1,0,1,372,-1,-1,8,228,1
116,0,1,1,372,-1,-1,0,228,0
117,1,0,1,368,-1,-1,8,228,1
118,0,1,1,368,-1,-1,0,228,0
119,1,0,1,361,-1,-1,8,228,1
120,0,1,1,361,-1,-1,0,228,0
