id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
0,1,0,1,1,-1,-1,8,-1,0
1,0,1,1,66,-1,-1,0,-1,0
2,1,0,1,66,-1,-1,8,-1,1
3,0,1,1,23,-1,-1,0,-1,0
4,1,0,1,22,-1,-1,8,-1,1
5,0,1,1,23,-1,-1,0,-1,0
6,1,0,1,22,-1,-1,8,-1,1
7,1,0,1,141,-1,-1,8,-1,1
8,0,1,1,140,-1,-1,0,-1,0
9,0,1,1,39,-1,-1,0,-1,0
10,1,0,1,39,-1,-1,8,-1,1
11,1,0,1,43,-1,-1,8,-1,1
12,0,1,1,43,-1,-1,0,-1,0
13,1,0,1,42,-1,-1,8,-1,1
14,0,1,1,42,-1,-1,0,-1,0
15,0,1,1,43,-1,-1,0,-1,0
16,1,0,1,43,-1,-1,8,-1,1
17,1,0,1,41,-1,-1,8,-1,1
18,0,1,1,40,-1,-1,0,-1,0
19,1,0,1,42,-1,-1,8,-1,1
20,0,1,1,42,-1,-1,0,-1,0
21,1,0,1,46,-1,-1,8,-1,1
22,0,1,1,45,-1,-1,0,-1,0
23,0,1,1,42,-1,-1,0,-1,0
24,1,0,1,41,-1,-1,8,-1,1
25,1,0,1,43,-1,-1,8,-1,1
26,0,1,1,42,-1,-1,0,-1,0
27,1,0,1,44,-1,-1,8,-1,1
28,0,1,1,43,-1,-1,0,-1,0
29,1,0,1,47,-1,-1,8,-1,1
30,0,1,1,47,-1,-1,0,-1,0
31,1,0,1,218,-1,-1,8,-1,1
32,0,1,1,218,-1,-1,0,-1,0
33,1,0,1,125,-1,-1,8,-1,1
34,0,1,1,124,-1,-1,0,-1,0
35,1,0,1,135,-1,-1,8,-1,1
36,0,1,1,135,-1,-1,0,-1,0
37,0,1,1,109,-1,-1,0,-1,0
38,1,0,1,109,-1,-1,8,-1,1
39,1,0,1,139,-1,-1,8,-1,1
40,0,1,1,138,-1,-1,0,-1,0
41,1,0,1,135,-1,-1,8,-1,1
42,0,1,1,135,-1,-1,0,-1,0
43,0,1,1,132,-1,-1,0,-1,0
44,1,0,1,131,-1,-1,8,-1,1
45,0,1,1,137,-1,-1,0,-1,0
46,1,0,1,136,-1,-1,8,-1,1
47,0,1,1,130,-1,-1,0,-1,0
48,1,0,1,129,-1,-1,8,-1,1
49,1,0,1,165,-1,-1,8,-1,1
50,0,1,1,165,-1,-1,0,-1,0
51,0,1,1,163,-1,-1,0,-1,0
52,1,0,1,162,-1,-1,8,-1,1
53,0,1,1,155,-1,-1,0,-1,0
54,1,0,1,145,-1,-1,8,-1,1
55,1,0,1,159,-1,-1,8,-1,1
56,0,1,1,159,-1,-1,0,-1,0
57,1,0,1,12,-1,-1,8,-1,0
58,0,1,1,11,-1,-1,0,-1,0
59,1,0,1,370,-1,-1,8,-1,1
60,0,1,1,369,-1,-1,0,-1,0
61,0,1,1,207,-1,-1,0,-1,0
62,1,0,1,207,-1,-1,8,-1,1
63,0,1,1,201,-1,-1,0,-1,0
64,1,0,1,255,-1,-1,8,-1,1
65,1,0,1,298,-1,-1,8,-1,1
66,0,1,1,150,-1,-1,0,-1,0
67,1,0,1,273,-1,-1,8,-1,1
68,0,1,1,183,-1,-1,0,-1,0
69,1,0,1,307,-1,-1,8,-1,1
70,0,1,1,153,-1,-1,0,-1,0
71,1,0,1,308,-1,-1,8,-1,1
72,0,1,1,156,-1,-1,0,-1,0
73,1,0,1,307,-1,-1,8,-1,1
74,0,1,1,155,-1,-1,0,-1,0
75,1,0,1,305,-1,-1,8,-1,1
76,0,1,1,151,-1,-1,0,-1,0
77,1,0,1,297,-1,-1,8,-1,1
78,0,1,1,152,-1,-1,0,-1,0
79,0,1,1,159,-1,-1,0,-1,0
80,1,0,1,315,-1,-1,8,-1,1
81,1,0,1,314,-1,-1,8,-1,1
82,0,1,1,153,-1,-1,0,-1,0
83,1,0,1,303,-1,-1,8,-1,1
84,0,1,1,148,-1,-1,0,-1,0
85,1,0,1,301,-1,-1,8,-1,1
86,0,1,1,149,-1,-1,0,-1,0
87,1,0,1,302,-1,-1,8,-1,1
88,0,1,1,150,-1,-1,0,-1,0
89,1,0,1,312,-1,-1,8,-1,1
90,0,1,1,151,-1,-1,0,-1,0
91,1,0,1,312,-1,-1,8,-1,1
92,0,1,1,154,-1,-1,0,-1,0
93,1,0,1,303,-1,-1,8,-1,1
94,0,1,1,154,-1,-1,0,-1,0
95,1,0,1,315,-1,-1,8,-1,1
96,0,1,1,159,-1,-1,0,-1,0
97,0,1,1,154,-1,-1,0,-1,0
98,1,0,1,309,-1,-1,8,-1,1
99,0,1,1,156,-1,-1,0,-1,0
100,1,0,1,321,-1,-1,8,-1,1
101,1,0,1,308,-1,-1,8,-1,1
102,0,1,1,151,-1,-1,0,-1,0
103,1,0,1,301,-1,-1,8,-1,1
104,0,1,1,145,-1,-1,0,-1,0
105,1,0,1,305,-1,-1,8,-1,1
106,0,1,1,164,-1,-1,0,-1,0
107,1,0,1,300,-1,-1,8,-1,1
108,0,1,1,150,-1,-1,0,-1,0
109,1,0,1,318,-1,-1,8,-1,1
110,0,1,1,149,-1,-1,0,-1,0
111,1,0,1,305,-1,-1,8,-1,1
112,0,1,1,150,-1,-1,0,-1,0
113,0,1,1,156,-1,-1,0,-1,0
114,1,0,1,311,-1,-1,8,-1,1
115,1,0,1,296,-1,-1,8,-1,1
116,0,1,1,156,-1,-1,0,-1,0
117,0,1,1,156,-1,-1,0,-1,0
118,1,0,1,310,-1,-1,8,-1,1
119,1,0,1,311,-1,-1,8,-1,1
120,0,1,1,154,-1,-1,0,-1,0
121,0,1,1,160,-1,-1,0,-1,0
122,1,0,1,297,-1,-1,8,-1,1
123,1,0,1,308,-1,-1,8,-1,1
124,0,1,1,151,-1,-1,0,-1,0
125,1,0,1,296,-1,-1,8,-1,1
126,0,1,1,154,-1,-1,0,-1,0
127,0,1,1,171,-1,-1,0,-1,0
128,1,0,1,333,-1,-1,8,-1,1
129,1,0,1,349,-1,-1,8,-1,1
130,0,1,1,169,-1,-1,0,-1,0
131,1,0,1,345,-1,-1,8,-1,1
132,0,1,1,172,-1,-1,0,-1,0
133,1,0,1,61,-1,-1,8,-1,1
134,0,1,1,61,-1,-1,0,-1,0
135,1,0,1,234,-1,-1,8,-1,1
136,0,1,1,233,-1,-1,0,-1,0
137,1,0,1,258,-1,-1,8,-1,1
138,0,1,1,257,-1,-1,0,-1,0
139,1,0,1,259,-1,-1,8,-1,1
140,0,1,1,258,-1,-1,0,-1,0
141,1,0,1,327,-1,-1,8,-1,1
142,0,1,1,326,-1,-1,0,-1,0
143,0,1,1,335,-1,-1,0,-1,0
144,1,0,1,335,-1,-1,8,-1,1
145,1,0,1,320,-1,-1,8,-1,1
146,0,1,1,320,-1,-1,0,-1,0
147,1,0,1,327,-1,-1,8,-1,1
148,0,1,1,327,-1,-1,0,-1,0
149,0,1,1,260,-1,-1,0,-1,0
150,1,0,1,259,-1,-1,8,-1,1
151,0,1,1,330,-1,-1,0,-1,0
152,1,0,1,330,-1,-1,8,-1,1
153,1,0,1,324,-1,-1,8,-1,1
154,0,1,1,325,-1,-1,0,-1,0
155,1,0,1,248,-1,-1,8,-1,1
156,0,1,1,246,-1,-1,0,-1,0
157,1,0,1,335,-1,-1,8,-1,1
158,0,1,1,335,-1,-1,0,-1,0
159,1,0,1,342,-1,-1,8,-1,1
160,0,1,1,341,-1,-1,0,-1,0
161,0,1,1,395,-1,-1,0,-1,0
162,1,0,1,395,-1,-1,8,-1,1
163,1,0,1,370,-1,-1,8,-1,1
164,0,1,1,375,-1,-1,0,-1,0
165,1,0,1,397,-1,-1,8,-1,1
166,0,1,1,395,-1,-1,0,-1,0
167,0,1,1,393,-1,-1,0,-1,0
168,1,0,1,394,-1,-1,8,-1,1
169,1,0,1,128,-1,-1,8,-1,1
170,0,1,1,128,-1,-1,0,-1,0
171,1,0,1,225,-1,-1,8,-1,1
172,0,1,1,224,-1,-1,0,-1,0
173,1,0,1,224,-1,-1,8,-1,1
174,0,1,1,223,-1,-1,0,-1,0
175,1,0,1,221,-1,-1,8,-1,1
176,0,1,1,220,-1,-1,0,-1,0
177,1,0,1,229,-1,-1,8,-1,1
178,0,1,1,227,-1,-1,0,-1,0
179,1,0,1,221,-1,-1,8,-1,1
180,0,1,1,221,-1,-1,0,-1,0
181,1,0,1,229,-1,-1,8,-1,1
182,0,1,1,229,-1,-1,0,-1,0
183,1,0,1,232,-1,-1,8,-1,1
184,0,1,1,232,-1,-1,0,-1,0
185,1,0,1,221,-1,-1,8,-1,1
186,0,1,1,220,-1,-1,0,-1,0
187,1,0,1,228,-1,-1,8,-1,1
188,0,1,1,228,-1,-1,0,-1,0
189,1,0,1,225,-1,-1,8,-1,1
190,0,1,1,225,-1,-1,0,-1,0
191,0,1,1,232,-1,-1,0,-1,0
192,1,0,1,232,-1,-1,8,-1,1
193,1,0,1,233,-1,-1,8,-1,1
194,0,1,1,232,-1,-1,0,-1,0
195,1,0,1,231,-1,-1,8,-1,1
196,0,1,1,230,-1,-1,0,-1,0
197,1,0,1,233,-1,-1,8,-1,1
198,0,1,1,232,-1,-1,0,-1,0
199,1,0,1,233,-1,-1,8,-1,1
200,0,1,1,233,-1,-1,0,-1,0
201,1,0,1,230,-1,-1,8,-1,1
202,0,1,1,229,-1,-1,0,-1,0
203,1,0,1,233,-1,-1,8,-1,1
204,0,1,1,232,-1,-1,0,-1,0
205,0,1,1,235,-1,-1,0,-1,0
206,1,0,1,234,-1,-1,8,-1,1
207,0,1,1,229,-1,-1,0,-1,0
208,1,0,1,229,-1,-1,8,-1,1
209,1,0,1,230,-1,-1,8,-1,1
210,0,1,1,230,-1,-1,0,-1,0
211,1,0,1,234,-1,-1,8,-1,1
212,0,1,1,233,-1,-1,0,-1,0
213,1,0,1,239,-1,-1,8,-1,1
214,0,1,1,238,-1,-1,0,-1,0
215,1,0,1,238,-1,-1,8,-1,1
