id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
0,1,0,6,1,1,2,-1,-1,0
1,1,0,6,1,1,2,-1,-1,0
2,0,1,6,12,-1,18,-1,-1,0
3,1,0,6,10,1,2,-1,-1,0
4,1,0,6,11,1,4,-1,-1,0
5,0,1,6,12,-1,18,-1,-1,0
6,1,0,6,12,1,2,-1,-1,0
7,1,0,6,10,1,4,-1,-1,0
8,1,0,6,22,1,4,-1,-1,3
9,1,0,6,7,1,2,-1,-1,0
10,0,1,6,10,-1,18,-1,-1,0
11,0,1,6,5,-1,18,-1,-1,0
12,1,0,6,19,1,2,-1,-1,0
13,1,0,6,15,1,4,-1,-1,0
14,1,0,6,4,1,4,-1,-1,0
15,1,0,6,33,1,2,-1,-1,2
16,0,1,6,3,-1,18,-1,-1,0
17,1,0,6,13,1,2,-1,-1,0
18,1,0,6,13,1,4,-1,-1,0
19,0,1,6,12,-1,18,-1,-1,0
20,0,1,6,11,-1,18,-1,-1,0
21,1,0,6,10,1,4,-1,-1,0
22,1,0,6,16,1,2,-1,-1,0
23,0,1,6,13,-1,18,-1,-1,0
24,1,0,6,14,1,2,-1,-1,0
25,1,0,6,11,1,4,-1,-1,0
26,0,1,6,15,-1,18,-1,-1,0
27,1,0,6,14,1,2,-1,-1,0
28,1,0,6,9,1,4,-1,-1,0
29,0,1,6,15,-1,18,-1,-1,0
30,1,0,6,10,1,2,-1,-1,0
31,1,0,6,12,1,4,-1,-1,0
32,1,0,6,9,1,2,-1,-1,0
33,1,0,6,26,1,4,-1,-1,3
34,0,1,6,4,-1,18,-1,-1,0
35,1,0,6,11,1,4,-1,-1,0
36,1,0,6,14,1,2,-1,-1,0
37,0,1,6,10,-1,18,-1,-1,0
38,0,1,6,5,-1,18,-1,-1,0
39,1,0,6,21,1,2,-1,-1,2
40,1,0,6,13,1,4,-1,-1,0
41,1,0,6,10,1,4,-1,-1,0
42,1,0,6,23,1,2,-1,-1,2
43,0,1,6,7,-1,18,-1,-1,0
44,1,0,6,25,1,2,-1,-1,2
45,0,1,6,9,-1,18,-1,-1,0
46,1,0,6,5,1,4,-1,-1,0
47,1,0,6,23,1,2,-1,-1,2
48,0,1,6,9,-1,18,-1,-1,0
49,1,0,6,8,1,4,-1,-1,0
50,1,0,6,25,1,2,-1,-1,2
51,1,0,6,7,1,4,-1,-1,0
52,0,1,6,6,-1,18,-1,-1,0
53,1,0,6,8,1,4,-1,-1,0
