id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
0,1,0,6,1,1,2,-1,-1,0
1,1,0,6,57,1,2,-1,-1,2
2,1,0,6,13,1,2,-1,-1,0
3,1,0,6,13,1,2,-1,-1,0
4,1,0,6,12,1,2,-1,-1,0
5,1,0,6,13,1,2,-1,-1,0
6,1,0,6,15,1,2,-1,-1,0
7,1,0,6,24,1,2,-1,-1,2
8,1,0,6,23,1,2,-1,-1,2
9,1,0,6,24,1,2,-1,-1,2
10,1,0,6,27,1,2,-1,-1,2
11,1,0,6,25,1,2,-1,-1,2
12,1,0,6,27,1,2,-1,-1,2
13,1,0,6,36,1,2,-1,-1,2
14,1,0,6,371,1,2,-1,-1,2
15,1,0,6,369,1,2,-1,-1,2
16,1,0,6,360,1,2,-1,-1,2
17,1,0,6,363,1,2,-1,-1,2
18,1,0,6,357,1,2,-1,-1,2
19,1,0,6,369,1,2,-1,-1,2
20,1,0,6,366,1,2,-1,-1,2
21,1,0,6,364,1,2,-1,-1,2
22,1,0,6,357,1,2,-1,-1,2
23,1,0,6,368,1,2,-1,-1,2
24,1,0,6,360,1,2,-1,-1,2
25,1,0,6,324,1,2,-1,-1,2
26,1,0,6,367,1,2,-1,-1,2
27,1,0,6,379,1,2,-1,-1,2
28,1,0,6,377,1,2,-1,-1,2
29,1,0,6,365,1,2,-1,-1,2
30,1,0,6,381,1,2,-1,-1,2
31,1,0,6,374,1,2,-1,-1,2
32,1,0,6,379,1,2,-1,-1,2
33,1,0,6,375,1,2,-1,-1,2
34,1,0,6,362,1,2,-1,-1,2
35,1,0,6,379,1,2,-1,-1,2
36,1,0,6,386,1,2,-1,-1,2
37,1,0,6,379,1,2,-1,-1,2
38,1,0,6,385,1,2,-1,-1,2
39,1,0,6,374,1,2,-1,-1,2
40,1,0,6,378,1,2,-1,-1,2
41,1,0,6,381,1,2,-1,-1,2
42,1,0,6,385,1,2,-1,-1,2
43,1,0,6,377,1,2,-1,-1,2
44,1,0,6,377,1,2,-1,-1,2
45,1,0,6,378,1,2,-1,-1,2
46,1,0,6,380,1,2,-1,-1,2
47,1,0,6,372,1,2,-1,-1,2
48,1,0,6,384,1,2,-1,-1,2
49,1,0,6,383,1,2,-1,-1,2
50,1,0,6,5,1,2,-1,-1,0
51,1,0,6,26,1,2,-1,-1,2
52,1,0,6,7,1,2,-1,-1,0
53,1,0,6,28,1,2,-1,-1,2
54,1,0,6,314,1,2,-1,-1,2
55,1,0,6,312,1,2,-1,-1,2
56,1,0,6,312,1,2,-1,-1,2
57,1,0,6,310,1,2,-1,-1,2
58,1,0,6,314,1,2,-1,-1,2
59,1,0,6,316,1,2,-1,-1,2
60,1,0,6,138,1,2,-1,-1,2
61,1,0,6,19,1,2,-1,-1,0
62,1,0,6,96,1,2,-1,-1,2
63,1,0,6,174,1,2,-1,-1,2
64,1,0,6,176,1,2,-1,-1,2
65,1,0,6,174,1,2,-1,-1,2
66,1,0,6,26,1,2,-1,-1,2
67,1,0,6,76,1,2,-1,-1,2
68,1,0,6,1,1,2,-1,-1,0
69,1,0,6,5,1,2,-1,-1,0
70,1,0,6,3,1,2,-1,-1,0
71,1,0,6,2,1,2,-1,-1,0
72,1,0,6,5,1,2,-1,-1,0
73,1,0,6,5,1,2,-1,-1,0
74,1,0,6,1,1,2,-1,-1,0
75,1,0,6,5,1,2,-1,-1,0
76,1,0,6,4,1,2,-1,-1,0
77,1,0,6,6,1,2,-1,-1,0
78,1,0,6,9,1,2,-1,-1,0
79,1,0,6,3,1,2,-1,-1,0
80,1,0,6,5,1,2,-1,-1,0
81,1,0,6,10,1,2,-1,-1,0
82,1,0,6,6,1,2,-1,-1,0
83,1,0,6,13,1,2,-1,-1,0
84,1,0,6,16,1,2,-1,-1,0
85,1,0,6,14,1,2,-1,-1,0
86,1,0,6,17,1,2,-1,-1,0
87,1,0,6,10,1,2,-1,-1,0
88,1,0,6,10,1,2,-1,-1,0
89,1,0,6,12,1,2,-1,-1,0
90,1,0,6,17,1,2,-1,-1,0
91,1,0,6,13,1,2,-1,-1,0
92,1,0,6,9,1,2,-1,-1,0
93,1,0,6,15,1,2,-1,-1,0
94,1,0,6,12,1,2,-1,-1,0
95,1,0,6,17,1,2,-1,-1,0
96,1,0,6,60,1,2,-1,-1,2
97,1,0,6,12,1,2,-1,-1,0
98,1,0,6,19,1,2,-1,-1,0
99,1,0,6,14,1,2,-1,-1,0
100,1,0,6,20,1,2,-1,-1,0
101,1,0,6,17,1,2,-1,-1,0
102,1,0,6,35,1,2,-1,-1,2
103,1,0,6,39,1,2,-1,-1,2
104,1,0,6,37,1,2,-1,-1,2
105,1,0,6,40,1,2,-1,-1,2
106,1,0,6,42,1,2,-1,-1,2
107,1,0,6,45,1,2,-1,-1,2
108,1,0,6,50,1,2,-1,-1,2
109,1,0,6,52,1,2,-1,-1,2
110,1,0,6,56,1,2,-1,-1,2
111,1,0,6,52,1,2,-1,-1,2
112,1,0,6,59,1,2,-1,-1,2
113,1,0,6,62,1,2,-1,-1,2
114,1,0,6,59,1,2,-1,-1,2
115,1,0,6,63,1,2,-1,-1,2
116,1,0,6,56,1,2,-1,-1,2
117,1,0,6,58,1,2,-1,-1,2
118,1,0,6,60,1,2,-1,-1,2
119,1,0,6,59,1,2,-1,-1,2
120,1,0,6,65,1,2,-1,-1,2
121,1,0,6,54,1,2,-1,-1,2
122,1,0,6,65,1,2,-1,-1,2
123,1,0,6,67,1,2,-1,-1,2
124,1,0,6,66,1,2,-1,-1,2
125,1,0,6,71,1,2,-1,-1,2
126,1,0,6,72,1,2,-1,-1,2
127,1,0,6,73,1,2,-1,-1,2
128,1,0,6,75,1,2,-1,-1,2
129,1,0,6,70,1,2,-1,-1,2
130,1,0,6,72,1,2,-1,-1,2
131,1,0,6,79,1,2,-1,-1,2
132,1,0,6,74,1,2,-1,-1,2
133,1,0,6,75,1,2,-1,-1,2
134,1,0,6,82,1,2,-1,-1,2
135,1,0,6,77,1,2,-1,-1,2
136,1,0,6,77,1,2,-1,-1,2
137,1,0,6,77,1,2,-1,-1,2
138,1,0,6,30,1,2,-1,-1,2
139,1,0,6,117,1,2,-1,-1,2
140,1,0,6,116,1,2,-1,-1,2
141,1,0,6,121,1,2,-1,-1,2
142,1,0,6,118,1,2,-1,-1,2
143,1,0,6,117,1,2,-1,-1,2
144,1,0,6,120,1,2,-1,-1,2
145,1,0,6,123,1,2,-1,-1,2
146,1,0,6,124,1,2,-1,-1,2
147,1,0,6,120,1,2,-1,-1,2
148,1,0,6,125,1,2,-1,-1,2
149,1,0,6,120,1,2,-1,-1,2
150,1,0,6,121,1,2,-1,-1,2
151,1,0,6,125,1,2,-1,-1,2
152,1,0,6,131,1,2,-1,-1,2
153,1,0,6,136,1,2,-1,-1,2
154,1,0,6,133,1,2,-1,-1,2
155,1,0,6,143,1,2,-1,-1,2
156,1,0,6,136,1,2,-1,-1,2
157,1,0,6,138,1,2,-1,-1,2
158,1,0,6,142,1,2,-1,-1,2
159,1,0,6,138,1,2,-1,-1,2
160,1,0,6,138,1,2,-1,-1,2
161,1,0,6,139,1,2,-1,-1,2
162,1,0,6,140,1,2,-1,-1,2
163,1,0,6,137,1,2,-1,-1,2
164,1,0,6,138,1,2,-1,-1,2
165,1,0,6,138,1,2,-1,-1,2
166,1,0,6,145,1,2,-1,-1,2
167,1,0,6,148,1,2,-1,-1,2
168,1,0,6,147,1,2,-1,-1,2
169,1,0,6,148,1,2,-1,-1,2
170,1,0,6,148,1,2,-1,-1,2
171,1,0,6,152,1,2,-1,-1,2
172,1,0,6,153,1,2,-1,-1,2
173,1,0,6,151,1,2,-1,-1,2
