protocal,count,port,flag,type,srcip,attack
6,1841,80,24,-1,-1,7
6,1847,80,24,-1,-1,7
6,1861,80,24,-1,-1,7
6,1878,80,24,-1,-1,7
6,1851,80,24,-1,-1,7
6,1848,80,24,-1,-1,7
6,1866,80,24,-1,-1,7
6,1865,80,24,-1,-1,7
6,1857,80,24,-1,-1,7
6,1859,80,24,-1,-1,7
6,1,1100,16,-1,-1,0
6,1864,80,24,-1,-1,7
6,1,1100,16,-1,-1,0
6,1872,80,24,-1,-1,7
6,1847,80,24,-1,-1,7
6,1832,80,24,-1,-1,7
6,1,1100,16,-1,-1,0
6,1878,80,24,-1,-1,7
6,1879,80,24,-1,-1,7
6,1875,80,24,-1,-1,7
6,1,1134,18,-1,-1,0
6,1,80,16,-1,-1,0
6,1,80,17,-1,-1,0
6,2,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,1,1134,24,-1,-1,0
6,11,902,16,-1,-1,0
6,25,1071,16,-1,-1,0
6,1,1134,16,-1,-1,0
6,1,80,24,-1,-1,0
6,3,902,24,-1,-1,0
6,1,80,2,-1,-1,0
6,1,1134,17,-1,-1,0
6,2,1100,16,-1,-1,0
6,1878,80,24,-1,-1,7
6,2,80,16,-1,-1,0
6,1,80,24,-1,-1,0
6,3,1100,24,-1,-1,0
6,3,1071,24,-1,-1,0
6,37,902,16,-1,-1,0
6,83,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,1891,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,6,1071,24,-1,-1,0
6,38,902,16,-1,-1,0
6,96,1071,16,-1,-1,0
6,6,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1888,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,5,1071,24,-1,-1,0
6,46,902,16,-1,-1,0
6,82,1071,16,-1,-1,0
6,5,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1893,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,33,902,16,-1,-1,0
6,67,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,1,1100,16,-1,-1,0
6,1869,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,42,902,16,-1,-1,0
6,89,1071,16,-1,-1,0
6,5,902,24,-1,-1,0
6,3,1100,16,-1,-1,0
6,1875,80,24,-1,-1,7
6,3,1100,24,-1,-1,0
6,1,80,24,-1,-1,0
6,4,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,38,902,16,-1,-1,0
6,81,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1875,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,34,902,16,-1,-1,0
6,69,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1842,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,2,1071,24,-1,-1,0
6,36,902,16,-1,-1,0
6,83,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,1,1100,16,-1,-1,0
6,1842,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,37,902,16,-1,-1,0
6,83,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1845,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,33,902,16,-1,-1,0
6,68,1071,16,-1,-1,0
6,5,902,24,-1,-1,0
6,2,1100,16,-1,-1,0
6,1855,80,24,-1,-1,7
6,3,80,16,-1,-1,0
6,1,80,24,-1,-1,0
6,3,1100,24,-1,-1,0
6,3,1071,24,-1,-1,0
6,29,902,16,-1,-1,0
6,60,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1845,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,39,902,16,-1,-1,0
6,80,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1835,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,40,902,16,-1,-1,0
6,90,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1860,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,11,902,16,-1,-1,0
6,24,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1849,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,6,1071,24,-1,-1,0
6,2,902,16,-1,-1,0
6,8,1071,16,-1,-1,0
6,10,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,2,1100,16,-1,-1,0
6,1838,80,24,-1,-1,7
6,3,80,16,-1,-1,0
6,1,80,24,-1,-1,0
6,3,1100,24,-1,-1,0
6,4,1071,24,-1,-1,0
6,39,902,16,-1,-1,0
6,93,1071,16,-1,-1,0
6,5,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1870,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,41,902,16,-1,-1,0
6,84,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1852,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,35,902,16,-1,-1,0
6,85,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1890,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,11,902,16,-1,-1,0
6,25,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,1,1100,16,-1,-1,0
6,1871,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,43,902,16,-1,-1,0
6,96,1071,16,-1,-1,0
6,16,902,24,-1,-1,0
6,2,1100,16,-1,-1,0
6,1894,80,24,-1,-1,7
6,3,80,16,-1,-1,0
6,1,80,24,-1,-1,0
6,3,1100,24,-1,-1,0
6,7,1071,24,-1,-1,0
6,32,902,16,-1,-1,0
6,72,1071,16,-1,-1,0
6,19,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1879,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,8,1071,24,-1,-1,0
6,27,902,16,-1,-1,0
6,82,1071,16,-1,-1,0
6,59,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1866,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,7,1071,24,-1,-1,0
6,25,902,16,-1,-1,0
6,60,1071,16,-1,-1,0
6,30,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1884,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,9,902,16,-1,-1,0
6,20,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1866,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,37,902,16,-1,-1,0
6,87,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,2,1100,16,-1,-1,0
6,1868,80,24,-1,-1,7
6,2,80,16,-1,-1,0
6,1,80,24,-1,-1,0
6,3,1100,24,-1,-1,0
6,2,1071,24,-1,-1,0
6,33,902,16,-1,-1,0
6,71,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,1822,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,6,1071,24,-1,-1,0
6,36,902,16,-1,-1,0
6,107,1071,16,-1,-1,0
6,6,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1878,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,42,902,16,-1,-1,0
6,97,1071,16,-1,-1,0
6,5,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1856,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,34,902,16,-1,-1,0
6,69,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1847,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,3,902,16,-1,-1,0
6,10,1071,16,-1,-1,0
6,3,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
6,3,1100,16,-1,-1,0
6,1889,80,24,-1,-1,7
6,3,1100,24,-1,-1,0
6,1,80,24,-1,-1,0
6,4,80,16,-1,-1,0
6,6,1071,24,-1,-1,0
6,18,902,16,-1,-1,0
6,36,1071,16,-1,-1,0
6,5,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1888,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,5,1071,24,-1,-1,0
6,42,902,16,-1,-1,0
6,85,1071,16,-1,-1,0
6,6,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1878,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,4,1071,24,-1,-1,0
6,33,902,16,-1,-1,0
6,68,1071,16,-1,-1,0
6,4,902,24,-1,-1,0
6,1,1100,16,-1,-1,0
6,1853,80,24,-1,-1,7
6,1,80,16,-1,-1,0
6,3,1071,24,-1,-1,0
6,9,902,16,-1,-1,0
6,19,1071,16,-1,-1,0
