protocal,count,port,flag,type,srcip,attack
6,2,902,24,-1,-1,0
17,1813,53,-1,-1,-1,6
6,1,58085,16,-1,-1,0
6,4,58085,24,-1,-1,0
6,1,902,16,-1,-1,0
6,2,58085,16,-1,-1,0
17,1874,53,-1,-1,-1,6
6,3,902,24,-1,-1,0
6,9,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
6,1,58085,24,-1,-1,0
6,3,22,16,-1,-1,0
6,1,58085,16,-1,-1,0
17,1877,53,-1,-1,-1,6
6,2,902,24,-1,-1,0
6,1,58040,24,-1,-1,0
6,2,58085,24,-1,-1,0
6,3,22,16,-1,-1,0
17,1889,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,4,22,16,-1,-1,0
17,1895,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,1,58040,16,-1,-1,0
17,1876,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,1,22,24,-1,-1,0
6,2,22,16,-1,-1,0
17,1887,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,1905,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
17,1862,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,1867,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
17,1869,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,1867,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
17,1889,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,1895,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
17,1855,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,1884,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
17,1891,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,1863,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
17,1839,53,-1,-1,-1,6
6,9,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,1852,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
17,1848,53,-1,-1,-1,6
17,2,138,-1,-1,-1,0
6,8,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,1853,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,1845,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,1879,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,1851,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,1,-1,2,-1,1,0
17,1867,53,-1,-1,-1,6
6,2,80,16,-1,-1,0
6,1,58110,18,-1,-1,0
6,3,22,16,-1,-1,0
6,1,80,17,-1,-1,0
6,1,80,24,-1,-1,0
6,1,58040,24,-1,-1,0
6,1,58110,16,-1,-1,0
6,1,58110,17,-1,-1,0
6,1,58110,24,-1,-1,0
17,1853,53,-1,-1,-1,6
6,4,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1867,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1849,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1849,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1857,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1864,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1851,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,2,58040,24,-1,-1,0
17,1889,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,7,58040,24,-1,-1,0
17,1901,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
17,1871,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,8,58040,24,-1,-1,0
17,1844,53,-1,-1,-1,6
6,4,22,16,-1,-1,0
17,1883,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,8,58040,24,-1,-1,0
17,1886,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,1,51823,16,-1,-1,0
6,1,5228,16,-1,-1,0
6,4,58040,24,-1,-1,0
17,1,53,-1,-1,-1,0
17,7,62167,-1,-1,-1,0
17,1893,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
17,1,62166,-1,-1,-1,0
17,6,443,-1,-1,-1,0
6,1,58040,24,-1,-1,0
17,1890,53,-1,-1,-1,6
6,4,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1878,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
17,1856,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,8,58040,24,-1,-1,0
17,1904,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
17,1866,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,9,58040,24,-1,-1,0
17,1875,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,1,51789,24,-1,-1,0
6,1,443,16,-1,-1,0
6,1,443,24,-1,-1,0
17,1886,53,-1,-1,-1,6
6,1,80,17,-1,-1,0
6,1,80,16,-1,-1,0
6,3,22,16,-1,-1,0
6,1,58109,17,-1,-1,0
6,7,58040,24,-1,-1,0
17,1911,53,-1,-1,-1,6
6,4,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1860,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1877,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1875,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1894,53,-1,-1,-1,6
6,4,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1868,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1857,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,1,62167,-1,-1,-1,0
17,1859,53,-1,-1,-1,6
6,3,22,16,-1,-1,0
17,1,443,-1,-1,-1,0
6,2,58040,24,-1,-1,0
6,1,902,16,-1,-1,0
6,1,58040,16,-1,-1,0
17,1857,53,-1,-1,-1,6
6,2,902,24,-1,-1,0
6,1,22,24,-1,-1,0
6,2,58085,24,-1,-1,0
6,3,22,16,-1,-1,0
6,1,58085,16,-1,-1,0
6,1,58040,24,-1,-1,0
17,3247,53,-1,-1,-1,6
6,2,58085,24,-1,-1,0
6,1,902,24,-1,-1,0
17,3309,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,4,902,24,-1,-1,0
6,3,58085,24,-1,-1,0
6,2,58085,16,-1,-1,0
6,3,22,16,-1,-1,0
6,1,58112,18,-1,-1,0
17,3172,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,902,24,-1,-1,0
6,2,58085,24,-1,-1,0
6,1,58085,16,-1,-1,0
6,2,22,16,-1,-1,0
17,3345,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,2,902,24,-1,-1,0
6,3,58085,24,-1,-1,0
6,2,58085,16,-1,-1,0
6,3,22,16,-1,-1,0
17,3249,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,3,902,24,-1,-1,0
6,2,58085,24,-1,-1,0
6,2,58085,16,-1,-1,0
6,3,22,16,-1,-1,0
17,3307,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,902,24,-1,-1,0
6,1,902,16,-1,-1,0
6,3,58085,24,-1,-1,0
6,1,58085,16,-1,-1,0
6,3,22,16,-1,-1,0
17,3276,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,3,58085,24,-1,-1,0
6,1,58085,16,-1,-1,0
6,3,22,16,-1,-1,0
17,3298,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,5,902,24,-1,-1,0
6,1,902,16,-1,-1,0
6,3,58085,24,-1,-1,0
6,2,58085,16,-1,-1,0
6,1,22,16,-1,-1,0
17,3220,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,902,24,-1,-1,0
6,3,58085,24,-1,-1,0
6,2,58085,16,-1,-1,0
6,3,22,16,-1,-1,0
17,3434,53,-1,-1,-1,6
6,9,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3397,53,-1,-1,-1,6
6,9,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3465,53,-1,-1,-1,6
6,2,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3359,53,-1,-1,-1,6
6,4,58040,24,-1,-1,0
17,3333,53,-1,-1,-1,6
6,6,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
6,1,5228,16,-1,-1,0
6,1,51823,16,-1,-1,0
17,3334,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3447,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
6,1,-1,2,-1,1,0
17,3334,53,-1,-1,-1,6
6,2,80,16,-1,-1,0
6,1,58113,18,-1,-1,0
6,1,80,24,-1,-1,0
6,1,80,17,-1,-1,0
6,1,58113,24,-1,-1,0
6,1,58113,17,-1,-1,0
6,6,58040,24,-1,-1,0
6,1,58113,16,-1,-1,0
6,3,22,16,-1,-1,0
17,3363,53,-1,-1,-1,6
6,1,58040,16,-1,-1,0
6,1,58040,24,-1,-1,0
6,4,22,16,-1,-1,0
17,3425,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3308,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3276,53,-1,-1,-1,6
6,3,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3383,53,-1,-1,-1,6
6,2,22,24,-1,-1,0
6,1,58040,16,-1,-1,0
6,3,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3423,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
17,3050,53,-1,-1,-1,6
6,6,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3321,53,-1,-1,-1,6
6,2,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3281,53,-1,-1,-1,6
6,4,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3434,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3404,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3342,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3379,53,-1,-1,-1,6
6,4,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3367,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3286,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3361,53,-1,-1,-1,6
6,4,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3344,53,-1,-1,-1,6
6,9,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3378,53,-1,-1,-1,6
6,2,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3422,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3318,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3297,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3381,53,-1,-1,-1,6
6,2,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3359,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
17,3387,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
17,3387,53,-1,-1,-1,6
6,6,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3271,53,-1,-1,-1,6
6,7,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3271,53,-1,-1,-1,6
6,2,58114,24,-1,-1,0
6,1,58114,16,-1,-1,0
6,6,443,24,-1,-1,0
6,1,-1,2,-1,1,0
6,1,58105,24,-1,-1,0
6,1,443,17,-1,-1,0
6,2,58040,24,-1,-1,0
6,1,58066,16,-1,-1,0
6,1,58066,17,-1,-1,0
6,1,58114,18,-1,-1,0
6,3,443,16,-1,-1,0
6,3,22,16,-1,-1,0
6,1,58105,16,-1,-1,0
17,3307,53,-1,-1,-1,6
6,1,58040,16,-1,-1,0
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3394,53,-1,-1,-1,6
6,9,58040,24,-1,-1,0
6,4,22,16,-1,-1,0
17,3338,53,-1,-1,-1,6
6,2,58085,24,-1,-1,0
6,1,58085,16,-1,-1,0
6,7,58040,24,-1,-1,0
6,2,902,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3372,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,1,22,16,-1,-1,0
17,3293,53,-1,-1,-1,6
6,2,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3302,53,-1,-1,-1,6
6,2,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3345,53,-1,-1,-1,6
6,6,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3459,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3361,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
17,3361,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
6,1,58111,24,-1,-1,0
17,3348,53,-1,-1,-1,6
6,1,58111,17,-1,-1,0
6,2,58040,24,-1,-1,0
6,2,22,16,-1,-1,0
6,1,58111,24,-1,-1,0
17,3320,53,-1,-1,-1,6
6,1,58111,17,-1,-1,0
6,1,58040,24,-1,-1,0
6,2,443,16,-1,-1,0
6,2,22,16,-1,-1,0
17,3333,53,-1,-1,-1,6
6,1,58040,24,-1,-1,0
6,3,22,16,-1,-1,0
17,3298,53,-1,-1,-1,6
6,8,58040,24,-1,-1,0
17,3324,53,-1,-1,-1,6
6,2,22,16,-1,-1,0
6,1,5228,16,-1,-1,0
6,1,51823,16,-1,-1,0
