protocal,count,port,flag,type,srcip,attack
1,2,-1,-1,0,-1,0
1,1,-1,-1,8,-1,0
1,3,-1,-1,0,-1,0
1,3,-1,-1,8,-1,0
1,808,-1,-1,0,-1,1
1,1,-1,-1,0,-1,0
1,562,-1,-1,0,-1,1
1,1,-1,-1,0,-1,0
1,1,-1,-1,8,-1,0
1,1,-1,-1,8,-1,0
1,2,-1,-1,8,-1,0
1,1,-1,-1,8,-1,0
1,1,-1,-1,8,-1,0
1,3,-1,-1,0,-1,0
1,3,-1,-1,8,-1,0
1,3,-1,-1,8,-1,0
1,934,-1,-1,0,-1,1
1,3,-1,-1,8,-1,0
1,3,-1,-1,0,-1,0
1,2,-1,-1,8,-1,0
1,2,-1,-1,0,-1,0
1,4,-1,-1,0,-1,0
1,1,-1,-1,0,-1,0
1,1,-1,-1,0,-1,0
1,1,-1,-1,0,-1,0
1,1,-1,-1,8,-1,0
1,1,-1,-1,8,-1,0
1,1,-1,-1,0,-1,0
1,2,-1,-1,8,-1,0
1,2,-1,-1,8,-1,0
1,4,-1,-1,8,-1,0
1,2,-1,-1,0,-1,0
1,1,-1,-1,0,-1,0
1,2,-1,-1,8,-1,0
1,2,-1,-1,8,-1,0
1,3,-1,-1,8,-1,0
1,1,-1,-1,0,-1,0
1,982,-1,-1,8,-1,1
1,2,-1,-1,8,-1,0
1,1,-1,-1,8,-1,0
1,1093,-1,-1,8,-1,1
1,2,-1,-1,8,-1,0
1,3,-1,-1,0,-1,0
1,4,-1,-1,0,-1,0
1,1,-1,-1,8,-1,0
1,1,-1,-1,8,-1,0
1,947,-1,-1,0,-1,1
1,3,-1,-1,8,-1,0
1,1078,-1,-1,8,-1,1
1,2,-1,-1,0,-1,0
1,1,-1,-1,8,-1,0
1,2,-1,-1,0,-1,0
1,2,-1,-1,0,-1,0
1,1,-1,-1,8,-1,0
1,1,-1,-1,8,-1,0
1,1144,-1,-1,8,-1,1
1,3,-1,-1,0,-1,0
1,778,-1,-1,0,-1,1
1,2,-1,-1,0,-1,0
