protocal,count,port,flag,type,attack,srcip
6,159,443,16,-1,0,-1
6,43,43152,24,-1,0,-1
6,1,43152,18,-1,0,-1
17,4,53456,-1,-1,0,-1
6,166,43152,16,-1,0,-1
6,2,443,16,-1,0,-1
6,4,48944,16,-1,0,-1
6,1,48944,18,-1,0,-1
17,4,37019,-1,-1,0,-1
6,3,44790,24,-1,0,-1
6,6,443,24,-1,0,-1
6,1,443,2,-1,0,-1
6,4,44790,16,-1,0,-1
6,6,443,16,-1,0,-1
6,1,443,2,-1,0,-1
6,6,48944,24,-1,0,-1
6,4,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,1,56936,16,-1,0,-1
6,1,80,17,-1,0,-1
6,1,43298,25,-1,0,-1
6,1,43298,16,-1,0,-1
6,1,80,16,-1,0,-1
6,1,56936,24,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,1,34490,18,-1,0,-1
6,1,56936,16,-1,0,-1
17,4,47442,-1,-1,0,-1
6,1,80,17,-1,0,-1
6,4,443,16,-1,0,-1
6,1,43298,25,-1,0,-1
17,2,56953,-1,-1,0,-1
6,1,443,2,-1,0,-1
17,2,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,1,43298,16,-1,0,-1
6,1,43292,16,-1,0,-1
6,1,43292,24,-1,0,-1
6,5,34490,24,-1,0,-1
6,6,443,24,-1,0,-1
6,6,34490,16,-1,0,-1
6,2,80,16,-1,0,-1
6,1,56936,24,-1,0,-1
17,8,53,-1,-1,0,-1
6,6,48952,16,-1,0,-1
6,2,443,24,-1,0,-1
17,4,52579,-1,-1,0,-1
6,6,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,4,443,16,-1,0,-1
6,3,55944,24,-1,0,-1
6,1,43294,24,-1,0,-1
6,2,55944,16,-1,0,-1
6,1,443,2,-1,0,-1
6,1,48952,18,-1,0,-1
6,9,41754,16,-1,0,-1
6,7,48952,24,-1,0,-1
6,10,443,16,-1,0,-1
17,4,58368,-1,-1,0,-1
6,7,41754,24,-1,0,-1
6,1,443,2,-1,0,-1
17,4,56953,-1,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,1,43294,16,-1,0,-1
6,1,41754,18,-1,0,-1
6,6,443,24,-1,0,-1
6,1,80,16,-1,0,-1
17,12,53,-1,-1,0,-1
6,3,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,6,48952,16,-1,0,-1
6,2,443,24,-1,0,-1
17,4,52579,-1,-1,0,-1
6,6,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,4,443,16,-1,0,-1
6,3,55944,24,-1,0,-1
6,1,43294,24,-1,0,-1
6,2,55944,16,-1,0,-1
6,1,443,2,-1,0,-1
6,1,56936,16,-1,0,-1
6,1,48952,18,-1,0,-1
6,9,41754,16,-1,0,-1
6,7,48952,24,-1,0,-1
6,1,53114,16,-1,0,-1
6,1,44790,24,-1,0,-1
6,10,443,16,-1,0,-1
17,4,58368,-1,-1,0,-1
6,7,41754,24,-1,0,-1
6,3,44790,16,-1,0,-1
6,1,443,2,-1,0,-1
17,6,56953,-1,-1,0,-1
6,1,80,16,-1,0,-1
