protocal,count,port,flag,type,srcip,attack
6,278,-1,2,-1,1,8
6,1555,-1,2,-1,1,8
6,704,-1,2,-1,1,8
6,1345,-1,2,-1,1,8
6,1467,-1,2,-1,1,8
6,2,902,24,-1,-1,0
6,1,51820,24,-1,-1,0
6,1,51756,24,-1,-1,0
6,469,3009,20,-1,-1,0
6,1479,-1,2,-1,1,8
6,36,902,16,-1,-1,0
6,1,51756,16,-1,-1,0
6,521,3009,20,-1,-1,0
6,111,51742,16,-1,-1,0
6,3,51742,24,-1,-1,0
6,597,-1,2,-1,1,8
6,7,902,24,-1,-1,0
6,36,902,16,-1,-1,0
6,1,51756,16,-1,-1,0
6,1071,-1,2,-1,1,8
6,1,51756,24,-1,-1,0
6,1040,3009,20,-1,-1,0
6,112,51742,16,-1,-1,0
6,5,51742,24,-1,-1,0
6,597,-1,2,-1,1,8
6,9,902,24,-1,-1,0
6,4,51756,16,-1,-1,0
6,1071,-1,2,-1,1,8
6,2,51756,24,-1,-1,0
6,343,3009,20,-1,-1,0
6,2,51742,16,-1,-1,0
6,604,-1,2,-1,1,8
6,8,902,24,-1,-1,0
6,5,51742,24,-1,-1,0
6,3,51820,24,-1,-1,0
6,5,51756,16,-1,-1,0
6,4,51820,16,-1,-1,0
6,5,22,16,-1,-1,0
6,10,902,24,-1,-1,0
6,1,902,16,-1,-1,0
6,2,51756,24,-1,-1,0
6,847,3009,20,-1,-1,0
6,2,51742,16,-1,-1,0
6,604,-1,2,-1,1,8
6,1036,-1,2,-1,1,8
6,5,51742,24,-1,-1,0
6,2,22,24,-1,-1,0
6,4,51820,24,-1,-1,0
6,3,51756,16,-1,-1,0
6,1,51820,16,-1,-1,0
6,1,22,16,-1,-1,0
6,8,902,24,-1,-1,0
6,3,902,16,-1,-1,0
6,246,-1,2,-1,1,8
6,3,51756,24,-1,-1,0
6,205,3009,20,-1,-1,0
6,3,51742,16,-1,-1,0
6,3,51742,24,-1,-1,0
6,6,51820,24,-1,-1,0
6,1,51756,16,-1,-1,0
6,991,-1,2,-1,1,8
6,703,-1,2,-1,1,8
6,2,51820,24,-1,-1,0
6,2,51756,16,-1,-1,0
6,1,51820,16,-1,-1,0
6,212,-1,2,-1,1,8
6,306,-1,2,-1,1,8
6,1527,-1,2,-1,1,8
6,290,2373,20,-1,-1,0
6,3,902,16,-1,-1,0
6,11,51820,24,-1,-1,0
6,1,51756,16,-1,-1,0
6,1480,-1,2,-1,1,8
6,1,51820,16,-1,-1,0
6,244,2373,20,-1,-1,0
6,4,902,16,-1,-1,0
6,1480,-1,2,-1,1,8
6,1,51820,16,-1,-1,0
6,1,2373,18,-1,-1,0
6,495,2373,20,-1,-1,0
6,9,902,16,-1,-1,0
6,1470,-1,2,-1,1,8
6,1,51820,16,-1,-1,0
6,1,51756,16,-1,-1,0
6,1,902,24,-1,-1,0
6,1,51742,16,-1,-1,0
6,256,2373,20,-1,-1,0
6,1514,-1,2,-1,1,8
6,1480,-1,2,-1,1,8
6,1,51820,16,-1,-1,0
6,1,51756,16,-1,-1,0
6,1,902,24,-1,-1,0
6,1,51742,16,-1,-1,0
6,497,2373,20,-1,-1,0
6,1514,-1,2,-1,1,8
6,1480,-1,2,-1,1,8
6,1497,-1,2,-1,1,8
6,237,2373,20,-1,-1,0
6,1,902,16,-1,-1,0
6,1466,-1,2,-1,1,8
6,250,2373,20,-1,-1,0
6,2,51756,24,-1,-1,0
6,1005,-1,2,-1,1,8
6,1,51820,16,-1,-1,0
6,507,2373,20,-1,-1,0
6,3,51756,24,-1,-1,0
6,4,22,16,-1,-1,0
6,1005,-1,2,-1,1,8
6,726,-1,2,-1,1,8
6,5,51820,16,-1,-1,0
6,2,51742,24,-1,-1,0
6,2,51756,16,-1,-1,0
6,6,902,24,-1,-1,0
6,1,51742,16,-1,-1,0
6,826,2373,20,-1,-1,0
6,1,902,16,-1,-1,0
6,1,51820,24,-1,-1,0
6,1443,-1,2,-1,1,8
6,1,51820,16,-1,-1,0
6,508,2373,20,-1,-1,0
6,2,51820,24,-1,-1,0
6,1,51756,24,-1,-1,0
6,413,-1,2,-1,1,8
6,1298,-1,2,-1,1,8
6,502,2373,20,-1,-1,0
6,8,51820,24,-1,-1,0
6,2,51756,24,-1,-1,0
6,815,-1,2,-1,1,8
6,980,-1,2,-1,1,8
6,269,2373,20,-1,-1,0
6,587,-1,2,-1,1,8
6,1160,-1,2,-1,1,8
6,201,-1,2,-1,1,8
6,732,-1,2,-1,1,8
6,1344,-1,2,-1,1,8
6,2,902,16,-1,-1,0
6,1,51820,16,-1,-1,0
6,468,2284,20,-1,-1,0
6,1,51756,16,-1,-1,0
6,1347,-1,2,-1,1,8
6,1,51820,24,-1,-1,0
6,3,902,16,-1,-1,0
6,498,2284,20,-1,-1,0
6,1,902,16,-1,-1,0
6,1274,-1,2,-1,1,8
6,476,2284,20,-1,-1,0
6,1,51820,24,-1,-1,0
6,1356,-1,2,-1,1,8
6,1,902,16,-1,-1,0
6,472,2284,20,-1,-1,0
6,1263,-1,2,-1,1,8
6,2,902,16,-1,-1,0
