protocal,count,port,flag,type,srcip,attack
6,2,1152,16,-1,-1,0
6,5,1152,24,-1,-1,0
6,82,1150,16,-1,-1,0
6,39,902,16,-1,-1,0
6,924,80,2,-1,-1,2
6,1,1150,24,-1,-1,0
17,4,53,-1,-1,-1,0
6,7,902,24,-1,-1,0
6,4,1150,24,-1,-1,0
6,2,1152,16,-1,-1,0
6,89,1150,16,-1,-1,0
6,40,902,16,-1,-1,0
6,938,80,2,-1,-1,2
6,1,1152,24,-1,-1,0
6,6,902,24,-1,-1,0
6,4,1150,24,-1,-1,0
6,4,1152,24,-1,-1,0
6,79,1150,16,-1,-1,0
6,38,902,16,-1,-1,0
6,935,80,2,-1,-1,2
6,2,1152,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,9,902,24,-1,-1,0
6,3,1150,24,-1,-1,0
6,3,1152,24,-1,-1,0
6,78,1150,16,-1,-1,0
6,37,902,16,-1,-1,0
6,938,80,2,-1,-1,2
6,1,1152,16,-1,-1,0
17,3,53,-1,-1,-1,0
6,6,902,24,-1,-1,0
6,6,1150,24,-1,-1,0
6,5,1152,24,-1,-1,0
6,52,1150,16,-1,-1,0
6,26,902,16,-1,-1,0
6,949,80,2,-1,-1,2
6,2,1152,16,-1,-1,0
6,5,902,24,-1,-1,0
6,2,1152,16,-1,-1,0
6,3,1152,24,-1,-1,0
6,101,1150,16,-1,-1,0
6,45,902,16,-1,-1,0
6,906,80,2,-1,-1,2
6,3,1150,24,-1,-1,0
6,7,902,24,-1,-1,0
6,3,1150,24,-1,-1,0
6,59,1150,16,-1,-1,0
6,28,902,16,-1,-1,0
6,956,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,3,902,24,-1,-1,0
6,2,1150,24,-1,-1,0
6,92,1150,16,-1,-1,0
6,42,902,16,-1,-1,0
6,947,80,2,-1,-1,2
17,4,53,-1,-1,-1,0
6,3,902,24,-1,-1,0
6,4,1150,24,-1,-1,0
6,65,1150,16,-1,-1,0
6,32,902,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,959,80,2,-1,-1,2
17,2,5353,-1,-1,-1,0
6,4,902,24,-1,-1,0
6,4,1150,24,-1,-1,0
6,102,1150,16,-1,-1,0
6,47,902,16,-1,-1,0
6,948,80,2,-1,-1,2
6,4,902,24,-1,-1,0
6,2,1150,24,-1,-1,0
6,96,1150,16,-1,-1,0
6,43,902,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,954,80,2,-1,-1,2
6,3,902,24,-1,-1,0
6,2,1150,24,-1,-1,0
6,86,1150,16,-1,-1,0
6,43,902,16,-1,-1,0
6,928,80,2,-1,-1,2
6,3,902,24,-1,-1,0
6,10,1150,24,-1,-1,0
6,101,1150,16,-1,-1,0
6,41,902,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,955,80,2,-1,-1,2
6,50,902,24,-1,-1,0
6,6,1150,24,-1,-1,0
6,87,1150,16,-1,-1,0
6,33,902,16,-1,-1,0
6,941,80,2,-1,-1,2
6,8,902,24,-1,-1,0
6,4,1150,24,-1,-1,0
6,72,1150,16,-1,-1,0
6,34,902,16,-1,-1,0
6,934,80,2,-1,-1,2
17,1,53,-1,-1,-1,0
6,10,902,24,-1,-1,0
6,5,1150,24,-1,-1,0
6,106,1150,16,-1,-1,0
6,40,902,16,-1,-1,0
6,947,80,2,-1,-1,2
6,53,902,24,-1,-1,0
6,3,1150,24,-1,-1,0
6,90,1150,16,-1,-1,0
6,37,902,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,947,80,2,-1,-1,2
6,14,902,24,-1,-1,0
6,929,22,2,-1,-1,2
6,48,902,16,-1,-1,0
6,1,80,2,-1,-1,0
6,64,1150,16,-1,-1,0
6,3,1152,24,-1,-1,0
6,2,1152,16,-1,-1,0
6,3,1150,24,-1,-1,0
6,6,902,24,-1,-1,0
6,935,22,2,-1,-1,2
6,47,902,16,-1,-1,0
6,103,1150,16,-1,-1,0
6,4,1152,24,-1,-1,0
6,2,1152,16,-1,-1,0
6,3,1150,24,-1,-1,0
6,8,902,24,-1,-1,0
6,947,22,2,-1,-1,2
6,42,902,16,-1,-1,0
6,85,1150,16,-1,-1,0
6,1,1152,24,-1,-1,0
6,1,1152,16,-1,-1,0
6,4,1150,24,-1,-1,0
6,5,902,24,-1,-1,0
6,943,22,2,-1,-1,2
6,8,902,16,-1,-1,0
17,3,53,-1,-1,-1,0
6,4,1152,24,-1,-1,0
1,1,-1,1,3,-1,0
6,3,1150,24,-1,-1,0
6,1,80,2,-1,-1,0
17,1,53,-1,-1,-1,0
6,16,1150,16,-1,-1,0
6,2,1152,16,-1,-1,0
17,1,61514,-1,-1,-1,0
6,7,902,24,-1,-1,0
6,931,22,2,-1,-1,2
6,42,902,16,-1,-1,0
6,3,1152,24,-1,-1,0
6,2,1150,24,-1,-1,0
6,96,1150,16,-1,-1,0
6,1,1152,16,-1,-1,0
6,6,902,24,-1,-1,0
6,928,22,2,-1,-1,2
6,41,902,16,-1,-1,0
6,2,1152,24,-1,-1,0
6,3,1150,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,85,1150,16,-1,-1,0
6,2,1152,16,-1,-1,0
6,6,902,24,-1,-1,0
6,925,22,2,-1,-1,2
6,39,902,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,3,1152,24,-1,-1,0
6,2,1150,24,-1,-1,0
6,96,1150,16,-1,-1,0
6,2,1152,16,-1,-1,0
6,6,902,24,-1,-1,0
6,961,22,2,-1,-1,2
6,26,902,16,-1,-1,0
6,5,1150,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,78,1150,16,-1,-1,0
6,56,902,24,-1,-1,0
6,936,22,2,-1,-1,2
6,45,902,16,-1,-1,0
6,5,1150,24,-1,-1,0
6,106,1150,16,-1,-1,0
6,14,902,24,-1,-1,0
6,915,22,2,-1,-1,2
6,43,902,16,-1,-1,0
17,2,53,-1,-1,-1,0
1,1,-1,1,3,-1,0
6,4,1150,24,-1,-1,0
6,1,80,2,-1,-1,0
6,90,1150,16,-1,-1,0
6,6,902,24,-1,-1,0
17,2,53,-1,-1,-1,0
17,1,53,-1,-1,-1,0
6,942,80,2,-1,-1,2
6,85,1150,16,-1,-1,0
6,3,1150,24,-1,-1,0
6,3,1152,24,-1,-1,0
6,38,902,16,-1,-1,0
6,6,902,24,-1,-1,0
6,2,1152,16,-1,-1,0
6,934,80,2,-1,-1,2
6,104,1150,16,-1,-1,0
6,2,1150,24,-1,-1,0
6,4,1152,24,-1,-1,0
6,46,902,16,-1,-1,0
6,7,902,24,-1,-1,0
6,2,1152,16,-1,-1,0
17,1,53,-1,-1,-1,0
17,1,53,-1,-1,-1,0
6,935,80,2,-1,-1,2
6,60,1150,16,-1,-1,0
6,4,1150,24,-1,-1,0
6,1,1152,24,-1,-1,0
6,29,902,16,-1,-1,0
6,1,1152,16,-1,-1,0
6,5,902,24,-1,-1,0
17,2,138,-1,-1,-1,0
6,922,80,2,-1,-1,2
6,74,1150,16,-1,-1,0
6,3,1150,24,-1,-1,0
6,4,1152,24,-1,-1,0
6,37,902,16,-1,-1,0
6,7,902,24,-1,-1,0
6,2,1152,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,937,80,2,-1,-1,2
6,63,1150,16,-1,-1,0
6,3,1150,24,-1,-1,0
6,2,1152,24,-1,-1,0
6,31,902,16,-1,-1,0
6,5,902,24,-1,-1,0
6,1,1152,16,-1,-1,0
6,951,80,2,-1,-1,2
6,56,1150,16,-1,-1,0
6,4,1150,24,-1,-1,0
6,3,1152,24,-1,-1,0
6,28,902,16,-1,-1,0
6,7,902,24,-1,-1,0
6,2,1152,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,932,80,2,-1,-1,2
6,58,1150,16,-1,-1,0
6,4,1150,24,-1,-1,0
6,3,1152,24,-1,-1,0
6,27,902,16,-1,-1,0
6,7,902,24,-1,-1,0
6,2,1152,16,-1,-1,0
17,1,53,-1,-1,-1,0
6,936,80,2,-1,-1,2
6,55,1150,16,-1,-1,0
6,3,1150,24,-1,-1,0
6,2,1152,24,-1,-1,0
6,28,902,16,-1,-1,0
6,5,902,24,-1,-1,0
6,1,1152,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,953,80,2,-1,-1,2
6,11,1150,16,-1,-1,0
6,4,1150,24,-1,-1,0
6,5,902,16,-1,-1,0
6,4,902,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,953,80,2,-1,-1,2
