protocal,count,port,flag,type,srcip,attack
17,941,9,-1,-1,-1,0
6,18,1250,16,-1,-1,0
6,7,1250,24,-1,-1,0
6,40,902,24,-1,-1,0
6,1,902,16,-1,-1,0
6,66,1250,16,-1,-1,0
6,25,902,16,-1,-1,0
17,958,9,-1,-1,-1,0
6,5,1250,24,-1,-1,0
6,34,902,24,-1,-1,0
6,85,1250,16,-1,-1,0
6,34,902,16,-1,-1,0
17,940,9,-1,-1,-1,0
6,4,1250,24,-1,-1,0
6,4,902,24,-1,-1,0
6,85,1250,16,-1,-1,0
6,42,902,16,-1,-1,0
17,956,9,-1,-1,-1,0
6,5,1250,24,-1,-1,0
6,5,902,24,-1,-1,0
6,141,1250,16,-1,-1,0
6,67,902,16,-1,-1,0
17,957,9,-1,-1,-1,0
6,4,1250,24,-1,-1,0
6,11,902,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,80,1250,16,-1,-1,0
6,31,902,16,-1,-1,0
17,946,9,-1,-1,-1,0
6,4,1250,24,-1,-1,0
6,12,902,24,-1,-1,0
6,91,1250,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,37,902,16,-1,-1,0
17,951,9,-1,-1,-1,0
6,4,1250,24,-1,-1,0
6,11,902,24,-1,-1,0
6,42,1250,16,-1,-1,0
6,17,902,16,-1,-1,0
17,959,9,-1,-1,-1,0
6,10,1250,24,-1,-1,0
6,26,902,24,-1,-1,0
1,1,-1,1,3,-1,0
6,63,1250,16,-1,-1,0
6,31,902,16,-1,-1,0
17,959,9,-1,-1,-1,0
6,6,1250,24,-1,-1,0
6,5,902,24,-1,-1,0
17,1,53,-1,-1,-1,0
6,63,1250,16,-1,-1,0
6,31,902,16,-1,-1,0
17,952,9,-1,-1,-1,0
6,4,1250,24,-1,-1,0
6,4,902,24,-1,-1,0
6,101,1250,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,48,902,16,-1,-1,0
17,954,9,-1,-1,-1,0
6,5,1250,24,-1,-1,0
6,11,902,24,-1,-1,0
6,140,1250,16,-1,-1,0
17,2,5353,-1,-1,-1,0
6,51,902,16,-1,-1,0
17,943,9,-1,-1,-1,0
6,7,1250,24,-1,-1,0
6,60,902,24,-1,-1,0
6,69,1250,16,-1,-1,0
6,34,902,16,-1,-1,0
17,955,9,-1,-1,-1,0
6,5,1250,24,-1,-1,0
6,5,902,24,-1,-1,0
6,88,1250,16,-1,-1,0
6,39,902,16,-1,-1,0
17,947,9,-1,-1,-1,0
6,3,1250,24,-1,-1,0
6,4,902,24,-1,-1,0
6,63,1250,16,-1,-1,0
6,30,902,16,-1,-1,0
17,958,9,-1,-1,-1,0
6,4,1250,24,-1,-1,0
6,4,902,24,-1,-1,0
6,25,1250,16,-1,-1,0
6,12,902,16,-1,-1,0
17,931,9,-1,-1,-1,0
6,5,1250,24,-1,-1,0
6,5,902,24,-1,-1,0
6,8,1250,16,-1,-1,0
6,2,902,16,-1,-1,0
17,941,9,-1,-1,-1,0
6,5,1250,24,-1,-1,0
6,5,902,24,-1,-1,0
6,98,1250,16,-1,-1,0
17,2,53,-1,-1,-1,0
