protocal,count,port,flag,type,srcip,attack
6,16,443,24,-1,-1,0
6,3,35408,24,-1,-1,0
6,16,41028,24,-1,-1,0
6,26,54930,24,-1,-1,0
6,12,54930,16,-1,-1,0
6,2,35408,16,-1,-1,0
6,2,443,24,-1,-1,0
17,4,47189,-1,-1,-1,0
17,4,33223,-1,-1,-1,0
6,3,443,16,-1,-1,0
6,18,443,16,-1,-1,0
17,4,34624,-1,-1,-1,0
17,6,53,-1,-1,-1,0
6,1,33962,24,-1,-1,0
6,22,54922,24,-1,-1,0
6,54,443,16,-1,-1,0
17,6,42299,-1,-1,-1,0
6,8,41028,16,-1,-1,0
6,1,443,16,-1,-1,0
6,6,443,24,-1,-1,0
6,69,54922,16,-1,-1,0
17,12,53,-1,-1,-1,0
6,37,443,24,-1,-1,0
6,3,35408,24,-1,-1,0
6,32,41028,24,-1,-1,0
6,43,54930,24,-1,-1,0
17,4,57622,-1,-1,-1,0
6,40,54930,16,-1,-1,0
6,2,35408,16,-1,-1,0
6,2,443,24,-1,-1,0
17,4,47189,-1,-1,-1,0
17,4,54586,-1,-1,-1,0
17,4,33223,-1,-1,-1,0
6,3,443,16,-1,-1,0
6,52,443,16,-1,-1,0
17,4,34624,-1,-1,-1,0
17,12,53,-1,-1,-1,0
6,1,33962,24,-1,-1,0
6,24,54922,24,-1,-1,0
6,67,443,16,-1,-1,0
17,12,42299,-1,-1,-1,0
6,66,41028,16,-1,-1,0
6,1,443,16,-1,-1,0
6,15,443,24,-1,-1,0
17,4,43673,-1,-1,-1,0
6,70,54922,16,-1,-1,0
17,24,53,-1,-1,-1,0
6,7,443,24,-1,-1,0
6,1,52434,16,-1,-1,0
6,3,41028,24,-1,-1,0
6,16,54930,24,-1,-1,0
6,7,54930,16,-1,-1,0
6,1,80,16,-1,-1,0
6,3,443,16,-1,-1,0
6,8,443,16,-1,-1,0
6,1,41028,16,-1,-1,0
6,1,443,24,-1,-1,0
6,10,443,24,-1,-1,0
6,1,52434,16,-1,-1,0
17,2,42299,-1,-1,-1,0
6,10,41028,24,-1,-1,0
6,22,54930,24,-1,-1,0
17,4,39853,-1,-1,-1,0
6,10,54930,16,-1,-1,0
6,1,80,16,-1,-1,0
6,10,443,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,11,443,16,-1,-1,0
6,6,41028,16,-1,-1,0
6,6,443,24,-1,-1,0
17,4,53,-1,-1,-1,0
6,5,443,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,5,41028,24,-1,-1,0
6,1,41028,16,-1,-1,0
17,4,39853,-1,-1,-1,0
6,8,54930,24,-1,-1,0
6,4,54930,16,-1,-1,0
6,1,80,16,-1,-1,0
6,5,443,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,2,54922,24,-1,-1,0
6,4,443,16,-1,-1,0
6,1,443,24,-1,-1,0
6,1,48556,16,-1,-1,0
6,1,54922,16,-1,-1,0
17,4,53,-1,-1,-1,0
6,2,443,24,-1,-1,0
6,6,54930,24,-1,-1,0
6,2,54930,16,-1,-1,0
6,2,443,16,-1,-1,0
6,2,443,24,-1,-1,0
6,1,40952,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,6,54930,24,-1,-1,0
6,1,443,16,-1,-1,0
6,1,443,24,-1,-1,0
17,4,35418,-1,-1,-1,0
6,2,54930,16,-1,-1,0
6,1,443,24,-1,-1,0
6,5,443,16,-1,-1,0
6,1,33962,16,-1,-1,0
6,5,33962,24,-1,-1,0
6,2,443,16,-1,-1,0
6,1,40952,16,-1,-1,0
17,2,53,-1,-1,-1,0
17,4,53,-1,-1,-1,0
6,1,40952,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,1,443,16,-1,-1,0
6,1,443,24,-1,-1,0
17,4,35418,-1,-1,-1,0
6,1,443,24,-1,-1,0
6,5,443,16,-1,-1,0
6,1,33962,16,-1,-1,0
6,5,33962,24,-1,-1,0
6,1,40952,16,-1,-1,0
17,2,53,-1,-1,-1,0
17,4,53,-1,-1,-1,0
6,1,443,24,-1,-1,0
6,1,40952,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,2,54930,24,-1,-1,0
6,1,443,16,-1,-1,0
6,1,443,24,-1,-1,0
17,4,35418,-1,-1,-1,0
6,1,54930,16,-1,-1,0
6,1,443,24,-1,-1,0
6,5,443,16,-1,-1,0
6,1,33962,16,-1,-1,0
6,5,33962,24,-1,-1,0
6,1,443,16,-1,-1,0
6,1,40952,16,-1,-1,0
17,2,53,-1,-1,-1,0
17,4,53,-1,-1,-1,0
6,1,443,24,-1,-1,0
6,2,54930,24,-1,-1,0
6,1,54930,16,-1,-1,0
